State/Uts," No of TB - Alcohol-TB patients with known Alcohol usage status, of notified)-Public","% of  TB - Alcohol-TB patients with known Alcohol usage status, of notified)-Public","No of  TB - Alcohol-TB patients with known Alcohol usage status,  of notified)-Private","% of  TB - Alcohol-TB patients with known Alcohol usage status,  of notified)-Private"," No of TB - Alcohol-TB patients with known Alcohol usage status,  of notified)-Total","% of TB - Alcohol-TB patients with known Alcohol usage status, of notified)-Total","No of TB - Alcohol-Alcohol users identified amongst screened, of those with known alcohol usage status)-Public","Percentage  of TB - Alcohol-Alcohol users identified amongst screened,of those with known alcohol usage status)-Public","No of TB - Alcohol-Alcohol users identified amongst screened, of those with known alcohol usage status)-Private","Percentage  of TB - Alcohol-Alcohol users identified amongst screened, of those with known alcohol usage status)-Private","No of TB - Alcohol-Alcohol users identified amongst screened,  of those with known alcohol usage status)-Total","Percentage  of TB - Alcohol-Alcohol users identified amongst screened,  of those with known alcohol usage status)-Total","No of TB - Alcohol-Alcohol users linked with Deaddiction centres, of alcohol users)-Public","Percentage  of TB - Alcohol-Alcohol users linked with Deaddiction centres,  of alcohol users)-Public","No of TB - Alcohol-Alcohol users linked with Deaddiction centres,  of alcohol users)-Private","Percentage  of TB - Alcohol-Alcohol users linked with Deaddiction centres,  of alcohol users)-Private","No of TB - Alcohol-Alcohol users linked with Deaddiction centres, of alcohol users)-Total","Percentage  of No of TB - Alcohol-Alcohol users linked with Deaddiction centres, of alcohol users)-Total"
Gujarat,103459 ,95.2,35556 ,90.1,139015 ,93.8,5707 ,5.5,493 ,1.4,6200 ,4.5,2455 ,43,252 ,51.1,2707 ,43.7
Haryana,54295 ,88.6,14079 ,80.9,68374 ,86.9,1790 ,3.3,238 ,1.7,2028 ,3,729 ,40.7,99 ,41.6,828 ,40.8
Himachal Pradesh,15509 ,96.7,429 ,91.7,15938 ,96.6,1379 ,8.9,17 ,4,1396 ,8.8,1176 ,85.3,10 ,58.8,1186 ,85
Jammu & Kashmir,10172 ,89.4,514 ,88.3,10686 ,89.3,430 ,4.2,5 ,1,435 ,4.1,222 ,51.6,4 ,80,226 ,52
Jharkhand,35773 ,76.2,4537 ,39.4,40310 ,68.9,3335 ,9.3,48 ,1.1,3383 ,8.4,885 ,26.5,16 ,33.3,901 ,26.6
Karnataka,59273 ,88,9629 ,81.8,68902 ,87.1,8964 ,15.1,409 ,4.2,9373 ,13.6,2538 ,28.3,110 ,26.9,2648 ,28.3
Kerala,17510 ,84.9,2003 ,69.1,19513 ,83,2660 ,15.2,101 ,5,2761 ,14.1,1270 ,47.7,38 ,37.6,1308 ,47.4
Ladakh,292 ,87.4,8 ,72.7,300 ,87,17 ,5.8,1 ,12.5,18 ,6,3 ,17.6,1 ,100,4 ,22.2
Lakshadweep,22 ,100,0 ,NA,22 ,100,0 ,0,0 ,0,0 ,0,0 ,0,NA,NA,NA,NA
Madhya Pradesh,79128 ,56.6,19701 ,40,98829 ,52.3,5170 ,6.5,275 ,1.4,5445 ,5.5,1110 ,21.5,53 ,19.3,1163 ,21.4
Maharashtra,126323 ,82.9,52493 ,67.9,178816 ,77.8,6857 ,5.4,718 ,1.4,7575 ,4.2,2469 ,36,226 ,31.5,2695 ,35.6
Manipur,1720 ,72.6,126 ,49,1846 ,70.3,251 ,14.6,8 ,6.3,259 ,14,79 ,31.5,1 ,12.5,80 ,30.9
Meghalaya,3538 ,76.2,148 ,46,3686 ,74.3,746 ,21.1,7 ,4.7,753 ,20.4,168 ,22.5,0 ,0,168 ,22.3
Mizoram,2025 ,97.1,20 ,100,2045 ,97.1,240 ,11.9,2 ,10,242 ,11.8,105 ,43.8,0 ,0,105 ,43.4
Nagaland,3127 ,82.2,351 ,94.1,3478 ,83.2,312 ,10,10 ,2.8,322 ,9.3,198 ,63.5,0 ,0,198 ,61.5
Odisha,52157 ,93.9,3969 ,90.3,56126 ,93.6,8665 ,16.6,251 ,6.3,8916 ,15.9,4024 ,46.4,103 ,41,4127 ,46.3
Puducherry,1467 ,96.2,2 ,100,1469 ,96.2,320 ,21.8,0 ,0,320 ,21.8,315 ,98.4,NA,NA,315 ,98.4
Punjab,40121 ,84.1,7502 ,76.4,47623 ,82.8,1531 ,3.8,72 ,1,1603 ,3.4,280 ,18.3,6 ,8.3,286 ,17.8
Rajasthan,104335 ,79.3,28427 ,73.6,132762 ,78,3343 ,3.2,450 ,1.6,3793 ,2.9,1071 ,32,191 ,42.4,1262 ,33.3
Sikkim,983 ,73.5,48 ,64.9,1031 ,73,60 ,6.1,2 ,4.2,62 ,6,4 ,6.7,1 ,50,5 ,8.1
Tamil Nadu,71063 ,90.8,12009 ,68,83072 ,86.6,16475 ,23.2,979 ,8.2,17454 ,21,3754 ,22.8,170 ,17.4,3924 ,22.5
Telangana,50793 ,93.1,16883 ,90.4,67676 ,92.4,7172 ,14.1,871 ,5.2,8043 ,11.9,3827 ,53.4,474 ,54.4,4301 ,53.5
Tripura,2177 ,66.9,32 ,80,2209 ,67,495 ,22.7,0 ,0,495 ,22.4,72 ,14.5,NA,NA,72 ,14.5
Uttar Pradesh,291692 ,69.6,56031 ,48,347723 ,64.9,9876 ,3.4,506 ,0.9,10382 ,3,2846 ,28.8,76 ,15,2922 ,28.1
Uttarakhand,21322 ,93.9,4180 ,89.9,25502 ,93.2,1645 ,7.7,106 ,2.5,1751 ,6.9,610 ,37.1,21 ,19.8,631 ,36
West Bengal,79395 ,84.6,6058 ,75.7,85453 ,83.9,10784 ,13.6,587 ,9.7,11371 ,13.3,3814 ,35.4,218 ,37.1,4032 ,35.5
India,1448433 ,78.1,348682 ,61.4,1797115 ,74.2,121545 ,8.4,8068 ,2.3,129613 ,7.2,40900 ,33.7,2535 ,31.4,43435 ,33.5
