State/Uts,"No of TB - Diabetes-TB patients with known DM status, of notified)-Public","Percentage  of TB - Diabetes-TB patients with known DM status,of notified)-Public","No of TB - Diabetes-TB patients with known DM status, of notified)-Private","Percentage  of TB - Diabetes-TB patients with known DM status, of notified)-Private","No of TB - Diabetes-TB patients with known DM status,of notified)-Total","Percentage of TB - Diabetes-TB patients with known DM status,  of notified)-Total","No of TB - Diabetes-Patients diagnosed among tested,of those with known DM status)-Public","Percentage of TB - Diabetes- Patients diagnosed among tested,of those with known DM status)-Public","No of TB - Diabetes- Patients diagnosed among tested, of those with known DM status)-Private","Percentage  of TB - Diabetes-Patients diagnosed among tested,  of those with known DM status)-Private","No of TB - Diabetes-Patients diagnosed among tested, of those with known DM status)-Total","Percentage  of TB - Diabetes-  Patients diagnosed among tested, of those with known DM status)-Total","No of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Public","Percentage of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Public","No of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Private","Percentage of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Private","No of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)0Total","Percentage of TB - Diabetes- patients initiated on Anti-diabetic treatment,of TB-DM)0Total"
Maharashtra,148268 ,97.3,73877 ,95.5,222145 ,96.7,9416 ,6.4,4376 ,5.9,13792 ,6.2,6493 ,69,2543 ,58.1,9036 ,65.5
Manipur,1808 ,76.3,143 ,55.6,1951 ,74.3,275 ,15.2,11 ,7.7,286 ,14.7,129 ,46.9,2 ,18.2,131 ,45.8
Meghalaya,3646 ,78.6,165 ,51.2,3811 ,76.8,216 ,5.9,4 ,2.4,220 ,5.8,142 ,65.7,3 ,75,145 ,65.9
Mizoram,2056 ,98.6,20 ,100,2076 ,98.6,129 ,6.3,6 ,30,135 ,6.5,125 ,96.9,6 ,100,131 ,97
Nagaland,3165 ,83.2,349 ,93.6,3514 ,84.1,175 ,5.5,20 ,5.7,195 ,5.5,86 ,49.1,2 ,10,88 ,45.1
Odisha,53597 ,96.5,4141 ,94.2,57738 ,96.3,4047 ,7.6,274 ,6.6,4321 ,7.5,3105 ,76.7,211 ,77,3316 ,76.7
Puducherry,1510 ,99,2 ,100,1512 ,99,464 ,30.7,0 ,0,464 ,30.7,445 ,95.9,NA,NA,445 ,95.9
Punjab,43665 ,91.5,9006 ,91.8,52671 ,91.5,4930 ,11.3,676 ,7.5,5606 ,10.6,2266 ,46,170 ,25.1,2436 ,43.5
Rajasthan,119170 ,90.5,34317 ,88.8,153487 ,90.1,3484 ,2.9,1208 ,3.5,4692 ,3.1,2276 ,65.3,538 ,44.5,2814 ,60
Sikkim,1305 ,97.5,71 ,95.9,1376 ,97.5,118 ,9,4 ,5.6,122 ,8.9,106 ,89.8,3 ,75,109 ,89.3
Tamil Nadu,76635 ,97.9,16054 ,90.8,92689 ,96.6,20196 ,26.4,3655 ,22.8,23851 ,25.7,19144 ,94.8,3179 ,87,22323 ,93.6
Telangana,51411 ,94.3,17215 ,92.2,68626 ,93.7,3250 ,6.3,892 ,5.2,4142 ,6,2691 ,82.8,738 ,82.7,3429 ,82.8
Tripura,3078 ,94.6,34 ,85,3112 ,94.4,473 ,15.4,6 ,17.6,479 ,15.4,182 ,38.5,0 ,0,182 ,38
Uttar Pradesh,390088 ,93,100893 ,86.5,490981 ,91.6,21480 ,5.5,1968 ,2,23448 ,4.8,8161 ,38,670 ,34,8831 ,37.7
Uttarakhand,21948 ,96.6,4339 ,93.3,26287 ,96.1,1741 ,7.9,231 ,5.3,1972 ,7.5,670 ,38.5,121 ,52.4,791 ,40.1
West Bengal,87854 ,93.6,6472 ,80.9,94326 ,92.6,12541 ,14.3,910 ,14.1,13451 ,14.3,9590 ,76.5,710 ,78,10300 ,76.6
India,1707030 ,92.1,508900 ,89.6,2215930 ,91.5,143167 ,8.4,30564 ,6,173731 ,7.8,93897 ,65.6,16161 ,52.9,110058 ,63.3
